"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 ar-sa x64","eb2fbfcd-25bc-4d98-93c1-95f893e58d03","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_ar-sa.esd","3172018736","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_ar-sa_79a153db0e2e4f285131833c27b84e6be290ade0.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_ar-sa_79a153db0e2e4f285131833c27b84e6be290ade0.esd","121 161 83 219 14 46 79 40 81 49 131 60 39 184 78 107 226 144 173 224","86 211 212 21 244 197 14 255 155 1 254 35 34 116 207 181 151 27 204 195 165 29 84 121 182 184 62 184 171 78 152 54","","","dc88b593-1a8b-4e34-b6ce-d971403fa90d","FeatureUpdate Windows 11 22H2","dc88b593-1a8b-4e34-b6ce-d971403fa90d"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 bg-bg x64","f237c10d-9ccc-4d7d-a35b-6cd1555def3a","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_bg-bg.esd","3216124426","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_bg-bg_be51c4067ad6b8cad89bf78fa2ba98d3378c49ad.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_bg-bg_be51c4067ad6b8cad89bf78fa2ba98d3378c49ad.esd","190 81 196 6 122 214 184 202 216 155 247 143 162 186 152 211 55 140 73 173","103 38 173 94 71 147 237 138 90 243 88 164 107 165 13 111 188 137 20 214 221 100 44 207 207 132 225 113 179 234 239 23","","","56572a68-119a-4429-9485-0c11ab84de60","FeatureUpdate Windows 11 22H2","56572a68-119a-4429-9485-0c11ab84de60"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 cs-cz x64","2d9f4a1d-cdb0-48c3-b941-5ffbb455eacb","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_cs-cz.esd","3208486564","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_cs-cz_a8b808d15f190d0477a13eab1185b41f7b16a4ae.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_cs-cz_a8b808d15f190d0477a13eab1185b41f7b16a4ae.esd","168 184 8 209 95 25 13 4 119 161 62 171 17 133 180 31 123 22 164 174","93 19 141 200 133 174 124 97 213 134 142 62 104 102 212 30 137 92 71 97 135 127 181 176 178 231 193 91 246 47 176 240","","","10618cfc-b28a-4626-9979-e47e6a9f5848","FeatureUpdate Windows 11 22H2","10618cfc-b28a-4626-9979-e47e6a9f5848"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 da-dk x64","35d802e6-2bef-4993-ba9a-11bc08c2787a","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_da-dk.esd","3231796852","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_da-dk_cbe6cf0f2d91ea3488a4e5ebe895992d644ed5ab.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_da-dk_cbe6cf0f2d91ea3488a4e5ebe895992d644ed5ab.esd","203 230 207 15 45 145 234 52 136 164 229 235 232 149 153 45 100 78 213 171","105 87 52 52 99 196 164 104 81 160 163 94 134 226 132 180 158 145 3 188 238 166 88 196 24 151 167 211 110 25 218 79","","","a9000717-fbcd-4b22-8c1a-9fd572f0f152","FeatureUpdate Windows 11 22H2","a9000717-fbcd-4b22-8c1a-9fd572f0f152"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 de-de x64","e7bbce47-c49d-4f6f-9153-b2f44ec923ea","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_de-de.esd","3339228136","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_de-de_016eae7a07dbc8142c637b1fd30deb26bbb9978c.esd","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_de-de_016eae7a07dbc8142c637b1fd30deb26bbb9978c.esd","1 110 174 122 7 219 200 20 44 99 123 31 211 13 235 38 187 185 151 140","101 170 33 81 123 91 239 40 64 127 125 19 176 91 26 241 224 100 246 231 161 131 186 253 151 84 204 17 191 222 120 47","","","b20cb65d-088a-489d-93af-649b9ed2a00a","FeatureUpdate Windows 11 22H2","b20cb65d-088a-489d-93af-649b9ed2a00a"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 el-gr x64","9294daa8-af1c-4652-a3af-90ae8d9c562a","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_el-gr.esd","3228298456","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_el-gr_063cc51ec0b13682229f4098c378740c2427844a.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_el-gr_063cc51ec0b13682229f4098c378740c2427844a.esd","6 60 197 30 192 177 54 130 34 159 64 152 195 120 116 12 36 39 132 74","204 8 120 17 188 147 80 229 228 226 255 167 164 18 161 140 68 97 56 20 39 16 34 239 167 147 46 40 143 53 238 248","","","6cb7345d-0fe6-435f-8719-e18990aa20ea","FeatureUpdate Windows 11 22H2","6cb7345d-0fe6-435f-8719-e18990aa20ea"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 en-gb x64","2611b351-f59f-4648-a816-587c00d10edb","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_en-gb.esd","3305345640","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_en-gb_bc8143e185ef3be3d6ea2ad4ad9d1ff8316054c6.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_en-gb_bc8143e185ef3be3d6ea2ad4ad9d1ff8316054c6.esd","188 129 67 225 133 239 59 227 214 234 42 212 173 157 31 248 49 96 84 198","68 111 155 200 244 245 203 213 62 203 67 32 73 184 157 192 40 163 139 100 198 120 78 24 191 207 247 223 19 94 98 38","","","6b61c34e-1893-4356-820b-fdc648209227","FeatureUpdate Windows 11 22H2","6b61c34e-1893-4356-820b-fdc648209227"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 en-us x64","191d6f80-05f1-41cb-bc2e-e2a8fd792389","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_en-us.esd","3308198974","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_en-us_56eee4c0e74e583829ffa339e8d96490ff75fe4c.esd","http://b1.download.windowsupdate.com/d/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_en-us_56eee4c0e74e583829ffa339e8d96490ff75fe4c.esd","86 238 228 192 231 78 88 56 41 255 163 57 232 217 100 144 255 117 254 76","199 186 98 10 30 109 103 51 161 51 144 108 85 187 106 241 63 82 192 39 156 194 219 179 208 143 0 220 176 68 22 159","","","f6776415-8ea1-466f-9be8-f89f3d4a1ecb","FeatureUpdate Windows 11 22H2","f6776415-8ea1-466f-9be8-f89f3d4a1ecb"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 es-es x64","8903fa5a-f9d1-4c18-b378-80bdc59660b9","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_es-es.esd","3309801948","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_es-es_f3862801a3eaf9bf248d8da7860b5345f6a19e69.esd","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_es-es_f3862801a3eaf9bf248d8da7860b5345f6a19e69.esd","243 134 40 1 163 234 249 191 36 141 141 167 134 11 83 69 246 161 158 105","68 242 180 226 166 89 26 155 203 77 53 204 122 19 250 164 67 243 177 116 221 3 7 22 130 174 45 237 251 230 73 98","","","60825302-e68e-4bc6-b143-ad531629afee","FeatureUpdate Windows 11 22H2","60825302-e68e-4bc6-b143-ad531629afee"
"FeatureUpdate Windows 11 22H2","22.6.14.1","","Windows 11","22H2","x64","Optional","6/7/2022 5:00:00 PM","3012973","22621 220506 1250","Windows 11 (business editions) version 22H2 es-mx x64","78f8f39d-a508-4550-9895-056b12dca7c7","","None","22621.1.220506-1250.ni_release_CLIENTBUSINESS_VOL_x64FRE_es-mx.esd","3166249024","Microsoft","Windows","Windows Insider Pre-Release","Upgrades","Unspecified","","Software","Published","True","True","LicenseAgreementFailed","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5006099","Install the latest version of Windows: Windows 11.","","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_es-mx_b8accb3ab9742d9283a511ccec46fb920cb76ff5.esd","http://b1.download.windowsupdate.com/c/upgr/2022/06/22621.1.220506-1250.ni_release_clientbusiness_vol_x64fre_es-mx_b8accb3ab9742d9283a511ccec46fb920cb76ff5.esd","184 172 203 58 185 116 45 146 131 165 17 204 236 70 251 146 12 183 111 245","58 100 244 60 201 88 90 158 20 192 127 0 43 216 176 234 18 183 170 142 83 100 73 170 52 96 74 238 156 102 53 63","","","e8d18a45-6c92-424b-8e2d-da53d4b817f4","FeatureUpdate Windows 11 22H2","e8d18a45-6c92-424b-8e2d-da53d4b817f4"
