"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x64","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (business editions) version 2004 ar-sa x64","d5f6b816-75d9-4b0b-8db0-7c01514bd393","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_ar-sa.esd","3337049672","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_282a18b176760f7e4f558333b3b7fa5ca1160424.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_282a18b176760f7e4f558333b3b7fa5ca1160424.esd","40 42 24 177 118 118 15 126 79 85 131 51 179 183 250 92 161 22 4 36","163 43 178 89 89 44 169 184 155 222 2 28 217 249 22 48 122 178 14 236 6 205 121 48 188 62 72 146 239 56 3 44","","","df3cf1d3-61da-4554-bd24-a18133371755","FeatureUpdate Windows 10 2004","df3cf1d3-61da-4554-bd24-a18133371755"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x86","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 bg-bg x86","f5f5f47b-ddd8-4748-9807-33db94aa5491","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_bg-bg.esd","2461077962","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_bg-bg_b445575585fafced162431c8e491f35b20541083.esd","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_bg-bg_b445575585fafced162431c8e491f35b20541083.esd","180 69 87 85 133 250 252 237 22 36 49 200 228 145 243 91 32 84 16 131","92 149 140 33 188 103 94 106 89 56 187 163 139 140 20 158 135 193 107 137 226 10 41 94 238 23 32 182 85 73 241 109","","","c4b84739-2f4c-4140-9699-968f5a4e66b1","FeatureUpdate Windows 10 2004","c4b84739-2f4c-4140-9699-968f5a4e66b1"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x64","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 cs-cz x64","6fb9dcf8-0b9d-4169-ab1c-2d0c607dd9a9","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x64FRE_cs-cz.esd","3489284116","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_cs-cz_47089fda0dbd90725a7de74dcbe18edd8b10ffd5.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_cs-cz_47089fda0dbd90725a7de74dcbe18edd8b10ffd5.esd","71 8 159 218 13 189 144 114 90 125 231 77 203 225 142 221 139 16 255 213","222 74 172 13 52 243 27 27 90 76 250 143 105 40 81 166 204 221 219 119 92 238 96 45 11 129 81 8 20 117 164 221","","","6e127957-6320-4002-b7ac-da9166a7e68d","FeatureUpdate Windows 10 2004","6e127957-6320-4002-b7ac-da9166a7e68d"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x86","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 cs-cz x86","35cdbf2a-6ccf-4d21-b839-ee1fa44f3e06","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_cs-cz.esd","2457579642","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_cs-cz_b5a47c13798de6d47e39d82795d300c826e3e9b6.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_cs-cz_b5a47c13798de6d47e39d82795d300c826e3e9b6.esd","181 164 124 19 121 141 230 212 126 57 216 39 149 211 0 200 38 227 233 182","97 62 11 125 162 30 206 213 16 67 124 172 130 40 30 134 6 53 244 241 166 129 193 161 153 131 73 207 149 87 98 148","","","0949bc83-fa9f-4a74-b06c-7ea889a1f5f6","FeatureUpdate Windows 10 2004","0949bc83-fa9f-4a74-b06c-7ea889a1f5f6"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x64","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 da-dk x64","fed34987-f16d-4ad5-bb73-ef7c77b3a33a","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x64FRE_da-dk.esd","3507001682","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_da-dk_e4ce114cfd03048e730bd4662295ce780709392e.esd","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_da-dk_e4ce114cfd03048e730bd4662295ce780709392e.esd","228 206 17 76 253 3 4 142 115 11 212 102 34 149 206 120 7 9 57 46","47 29 87 212 108 20 39 134 62 218 120 61 20 36 39 84 128 221 249 54 161 95 161 204 1 68 177 110 130 33 226 222","","","96004657-23dc-4d00-92d0-a07caf71a648","FeatureUpdate Windows 10 2004","96004657-23dc-4d00-92d0-a07caf71a648"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x86","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 da-dk x86","2a9c831e-5735-4840-b560-d5a0552b06d9","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_da-dk.esd","2477282274","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_da-dk_a59bd93c879daa86f99a1197de1ed1bbc9fab01a.esd","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_da-dk_a59bd93c879daa86f99a1197de1ed1bbc9fab01a.esd","165 155 217 60 135 157 170 134 249 154 17 151 222 30 209 187 201 250 176 26","234 173 57 152 57 210 230 75 106 61 104 96 73 211 211 109 174 53 182 209 216 167 44 140 71 13 137 9 35 16 224 86","","","5cee5998-8efc-4b67-b057-35ff22c0a240","FeatureUpdate Windows 10 2004","5cee5998-8efc-4b67-b057-35ff22c0a240"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x64","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 de-de x64","78972400-522c-4e67-abe9-f53cb1b9c9a2","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x64FRE_de-de.esd","3614862366","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_de-de_eac7aba66e17eed1405be412261ab2d232db0ac4.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_de-de_eac7aba66e17eed1405be412261ab2d232db0ac4.esd","234 199 171 166 110 23 238 209 64 91 228 18 38 26 178 210 50 219 10 196","95 121 217 241 251 190 172 120 164 83 87 1 167 230 160 38 201 26 127 17 189 162 170 14 147 96 222 32 207 33 47 239","","","d83d07fe-2654-4628-82db-0ea64456c6a1","FeatureUpdate Windows 10 2004","d83d07fe-2654-4628-82db-0ea64456c6a1"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x86","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 de-de x86","d7031e6a-3c3a-48e8-b97c-289acbe0565e","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_de-de.esd","2589284516","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_de-de_356c83719c01fa5bf454f6440a447dc226d354b2.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_de-de_356c83719c01fa5bf454f6440a447dc226d354b2.esd","53 108 131 113 156 1 250 91 244 84 246 68 10 68 125 194 38 211 84 178","73 55 161 205 72 72 178 234 164 139 199 189 218 118 25 192 240 151 192 254 203 96 13 173 60 57 200 58 172 206 34 75","","","c4a51c4d-9d5d-46f0-8156-797185024e7a","FeatureUpdate Windows 10 2004","c4a51c4d-9d5d-46f0-8156-797185024e7a"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x64","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 el-gr x64","da94cc4a-61d5-43e7-9680-816339e8c310","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x64FRE_el-gr.esd","3498039924","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_el-gr_e0ae333f9116e87cd0bc8cd6323bcfd18d793a79.esd","http://b1.download.windowsupdate.com/c/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x64fre_el-gr_e0ae333f9116e87cd0bc8cd6323bcfd18d793a79.esd","224 174 51 63 145 22 232 124 208 188 140 214 50 59 207 209 141 121 58 121","20 45 50 76 82 67 55 233 119 50 231 126 52 190 49 147 82 251 63 191 233 230 213 92 227 228 43 245 12 71 46 13","","","16c89d4f-7401-4a8a-b63f-9b2d7eab7ac8","FeatureUpdate Windows 10 2004","16c89d4f-7401-4a8a-b63f-9b2d7eab7ac8"
"FeatureUpdate Windows 10 2004","22.1.11.1","","Windows 10","2004","x86","","11/9/2020 6:00:05 PM","3012973","19041 201009 1946","Windows 10 (consumer editions) version 2004 el-gr x86","3302af77-52d7-4303-be04-9c44a8142520","","None","19041.572.201009-1946.vb_release_svc_refresh_CLIENTCONSUMER_RET_x86FRE_el-gr.esd","2468809106","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 2004.","","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_el-gr_26128c308750746770e9fa52a467dbebec6cd67b.esd","http://b1.download.windowsupdate.com/d/upgr/2020/11/19041.572.201009-1946.vb_release_svc_refresh_clientconsumer_ret_x86fre_el-gr_26128c308750746770e9fa52a467dbebec6cd67b.esd","38 18 140 48 135 80 116 103 112 233 250 82 164 103 219 235 236 108 214 123","235 241 84 0 104 36 89 72 87 213 34 231 84 191 56 160 59 37 157 59 73 171 185 39 42 170 17 127 144 246 210 221","","","774cf90d-5a19-42a7-8e76-1be121cdc1dc","FeatureUpdate Windows 10 2004","774cf90d-5a19-42a7-8e76-1be121cdc1dc"
