"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","8356 84716 8927 5023527","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","0AD99D8356E7C72ED3A4B286B4ED84716A8927B1_Windows11.0-KB5023527-x64-baseless.cab","92871","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4f837508-68fd-47ce-8f08-9e6ffdb7847c/public/windows11.0-kb5023527-x64-baseless_0ad99d8356e7c72ed3a4b286b4ed84716a8927b1.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4f837508-68fd-47ce-8f08-9e6ffdb7847c/public/windows11.0-kb5023527-x64-baseless_0ad99d8356e7c72ed3a4b286b4ed84716a8927b1.cab","10 217 157 131 86 231 199 46 211 164 178 134 180 237 132 113 106 137 39 177","170 195 169 72 222 188 176 61 187 224 126 82 125 4 181 178 121 62 143 228 88 192 201 127 162 222 129 61 28 93 253 196","","","b23b1dd0-dfc0-421c-890c-3f69e812f24e","Windows 11 22H2 UUP","b23b1dd0-dfc0-421c-890c-3f69e812f24e"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","23003 543266 4526","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","None","13E91E8E23003AC20CF1E15B5D7F543266BE4526_DesktopDeployment.cab","5330631","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/181b068d-afe1-4a41-984d-a24051ea4455/public/desktopdeployment_13e91e8e23003ac20cf1e15b5d7f543266be4526.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/181b068d-afe1-4a41-984d-a24051ea4455/public/desktopdeployment_13e91e8e23003ac20cf1e15b5d7f543266be4526.cab","19 233 30 142 35 0 58 194 12 241 225 91 93 127 84 50 102 190 69 38","195 243 218 226 17 86 121 186 52 225 39 234 93 54 178 163 181 89 64 83 124 84 80 120 230 15 86 132 221 254 188 55","","","08a8d50a-0d98-4329-bd19-a7452821460c","Windows 11 22H2 UUP","08a8d50a-0d98-4329-bd19-a7452821460c"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","3294 9937 7337834 21943","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","3294AF9937B733783476DA837B21943DC160FAAA_FeatureOnDemand.wim","6026932616","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/8a3ac009-3385-411e-833e-212c9b6f86d3/public/featureondemand_3294af9937b733783476da837b21943dc160faaa.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/8a3ac009-3385-411e-833e-212c9b6f86d3/public/featureondemand_3294af9937b733783476da837b21943dc160faaa.wim","50 148 175 153 55 183 51 120 52 118 218 131 123 33 148 61 193 96 250 170","188 239 184 152 126 67 104 204 67 223 64 208 210 247 59 154 182 64 74 245 252 31 110 13 75 69 29 21 227 218 90 19","","","ab7934b9-ec53-41d3-bbc6-f8a3fe34bc1c","Windows 11 22H2 UUP","ab7934b9-ec53-41d3-bbc6-f8a3fe34bc1c"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","7158195 6771132 2179115 3264","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","792B7158195BD67711324CD21791150C5A8B3264_FoDMetadata_Client.cab","423321","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/6154c6f8-b347-4928-8d96-8d185ef53f55/public/fodmetadata_client_792b7158195bd67711324cd21791150c5a8b3264.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/6154c6f8-b347-4928-8d96-8d185ef53f55/public/fodmetadata_client_792b7158195bd67711324cd21791150c5a8b3264.cab","121 43 113 88 25 91 214 119 17 50 76 210 23 145 21 12 90 139 50 100","146 90 7 107 226 138 150 77 199 97 112 254 238 70 174 102 70 135 29 205 173 6 236 237 119 178 72 176 105 146 5 254","","","cbd00c04-a753-4bbc-8505-14a86382afa5","Windows 11 22H2 UUP","cbd00c04-a753-4bbc-8505-14a86382afa5"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","830950 6687 16959 82798 92201 5023527","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","830950F6687CC1B16959F6BFE2CE82798DF92201_Windows11.0-KB5023527-x64-baseless.psf","13804807","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/e11b070a-cc35-4bb4-b8f3-9a6d93be7664/public/windows11.0-kb5023527-x64-baseless_830950f6687cc1b16959f6bfe2ce82798df92201.psf","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/e11b070a-cc35-4bb4-b8f3-9a6d93be7664/public/windows11.0-kb5023527-x64-baseless_830950f6687cc1b16959f6bfe2ce82798df92201.psf","131 9 80 246 104 124 193 177 105 89 246 191 226 206 130 121 141 249 34 1","55 74 15 34 117 132 164 80 209 64 82 14 97 98 84 62 100 145 206 111 173 133 186 127 78 183 132 210 186 77 218 146","","","aeda8b98-6f1c-4993-89ef-9586a062d919","Windows 11 22H2 UUP","aeda8b98-6f1c-4993-89ef-9586a062d919"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","9657 7963 9383","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","837BA8F9657E7963CC8B7C1DEB793F6AB9383EA9_AppClient.wim","1898758273","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/b0d7bb4c-e200-4c3f-aec9-9b026d8949ce/public/appclient_837ba8f9657e7963cc8b7c1deb793f6ab9383ea9.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/b0d7bb4c-e200-4c3f-aec9-9b026d8949ce/public/appclient_837ba8f9657e7963cc8b7c1deb793f6ab9383ea9.wim","131 123 168 249 101 126 121 99 204 139 124 29 235 121 63 106 185 56 62 169","71 142 168 61 43 248 203 138 198 77 37 230 7 180 182 90 29 32 171 233 175 242 239 16 25 235 143 131 251 165 5 166","","","eaea9b74-9601-4bbe-a19d-06fe24e99001","Windows 11 22H2 UUP","eaea9b74-9601-4bbe-a19d-06fe24e99001"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","316981 6279","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","9BB203C316981BE69E7FE22DBB6279EA6C60F072_LanguagePackClient.wim","891537388","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/5d20b45d-2345-41d9-a08e-5d9b640e173b/public/languagepackclient_9bb203c316981be69e7fe22dbb6279ea6c60f072.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/5d20b45d-2345-41d9-a08e-5d9b640e173b/public/languagepackclient_9bb203c316981be69e7fe22dbb6279ea6c60f072.wim","155 178 3 195 22 152 27 230 158 127 226 45 187 98 121 234 108 96 240 114","114 237 134 16 111 94 229 95 91 98 160 44 179 28 81 162 218 47 163 124 241 30 96 150 180 207 223 57 167 79 205 44","","","f6be1a39-665d-47f1-9d7d-605deaa0820d","Windows 11 22H2 UUP","f6be1a39-665d-47f1-9d7d-605deaa0820d"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","5971 1246488 7861","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","B7D4CAE381A5971E5BF48A1246488C4E7861A0B0_Edition.wim","2628615197","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4d843417-b4c3-4a26-b53e-9c1394a3ed8d/public/edition_b7d4cae381a5971e5bf48a1246488c4e7861a0b0.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/4d843417-b4c3-4a26-b53e-9c1394a3ed8d/public/edition_b7d4cae381a5971e5bf48a1246488c4e7861a0b0.wim","183 212 202 227 129 165 151 30 91 244 138 18 70 72 140 78 120 97 160 176","168 90 69 152 102 60 229 132 194 27 83 226 242 78 253 227 72 242 26 109 215 88 155 103 74 243 159 106 73 126 213 201","","","1860d853-54cd-4e6d-8f4c-db3ebf04f53c","Windows 11 22H2 UUP","1860d853-54cd-4e6d-8f4c-db3ebf04f53c"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","349537 8922","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","SelfContained","DC6DC94E82B26D349537DCBCCB8922CBDEB65F73_LXP.wim","263256682","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/64fbf4ad-ea42-46bd-837e-ecc86cea00f9/public/lxp_dc6dc94e82b26d349537dcbccb8922cbdeb65f73.wim","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/64fbf4ad-ea42-46bd-837e-ecc86cea00f9/public/lxp_dc6dc94e82b26d349537dcbccb8922cbdeb65f73.wim","220 109 201 78 130 178 109 52 149 55 220 188 203 137 34 203 222 182 95 115","28 196 53 46 21 72 228 171 132 208 23 35 240 201 171 170 109 200 20 50 184 188 128 122 192 33 189 6 154 160 7 198","","","be80d633-8fe0-4c71-9f93-469c816522bc","Windows 11 22H2 UUP","be80d633-8fe0-4c71-9f93-469c816522bc"
"Windows 11 22H2 UUP","23.4.11.1","","Windows 11","22H2","x64","","4/11/2023 5:00:00 PM","5025239","98145 0955","Windows 11 version 22H2 x64 2023-04B","5dd05344-3db5-43de-b2ae-e60bc6bd140e","UUPv1","None","FDCA7E98145E1A361CD43C38DB900F5B9F38EA17_d2ec0955-832a-419e-9dbc-5dfdc20acc9b_Wsus.AggregatedMetadata.cab","2877200","Microsoft","Windows","Windows 11","Upgrades","Unspecified","","Software","Published","True","True","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","","","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/735ea6c1-6118-4432-bac6-d103142797ae/public/d2ec0955-832a-419e-9dbc-5dfdc20acc9b_wsus.aggregatedmetadata_fdca7e98145e1a361cd43c38db900f5b9f38ea17.cab","http://dl.delivery.mp.microsoft.com/filestreamingservice/files/735ea6c1-6118-4432-bac6-d103142797ae/public/d2ec0955-832a-419e-9dbc-5dfdc20acc9b_wsus.aggregatedmetadata_fdca7e98145e1a361cd43c38db900f5b9f38ea17.cab","253 202 126 152 20 94 26 54 28 212 60 56 219 144 15 91 159 56 234 23","34 155 221 64 215 64 176 195 140 158 248 15 51 201 218 99 208 68 124 119 108 127 201 220 147 206 12 53 16 4 184 63","","","89d11c34-2358-4b8f-8da2-9cbc0fb81aed","Windows 11 22H2 UUP","89d11c34-2358-4b8f-8da2-9cbc0fb81aed"
