"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x64","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 ar-sa x64","8211b6e6-0d4b-4824-b9a4-20abe8e9536b","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_ar-sa.esd","3844430253","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_aab89129be4ce412a5134cd0051d4fdf63433066.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_aab89129be4ce412a5134cd0051d4fdf63433066.esd","170 184 145 41 190 76 228 18 165 19 76 208 5 29 79 223 99 67 48 102","152 82 11 193 114 77 220 40 26 52 222 195 155 249 23 139 91 144 50 15 248 245 63 3 188 72 1 57 162 130 203 87","","","9fa17d1b-2825-435b-84a7-83b2c311bd1d","FeatureUpdate Windows 10 20H2","9fa17d1b-2825-435b-84a7-83b2c311bd1d"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x86","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 ar-sa x86","85fb6bb9-9cbc-43cb-916b-9ada3de5dc7b","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_ar-sa.esd","2852393604","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_020612ca5553e358e5115a28362183ab9b8c27b0.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_020612ca5553e358e5115a28362183ab9b8c27b0.esd","2 6 18 202 85 83 227 88 229 17 90 40 54 33 131 171 155 140 39 176","218 74 151 148 230 84 142 8 204 26 27 231 79 94 174 106 60 45 119 102 175 233 76 122 147 240 36 97 107 229 93 50","","","a769f866-28ca-427f-bc90-0bffb56e5411","FeatureUpdate Windows 10 20H2","a769f866-28ca-427f-bc90-0bffb56e5411"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x64","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 bg-bg x64","05dcbed7-325f-4cad-ad75-5639462c7c6e","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_bg-bg.esd","3972087013","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_bbcc5f12106618b6a0cbd8b5535e085ca04ad2b0.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_bbcc5f12106618b6a0cbd8b5535e085ca04ad2b0.esd","187 204 95 18 16 102 24 182 160 203 216 181 83 94 8 92 160 74 210 176","73 169 71 146 247 35 65 7 61 193 53 49 30 206 93 63 187 140 115 2 49 234 243 4 184 194 72 208 219 59 107 68","","","f6202dc2-e0cb-4e81-b793-da5baed0cdab","FeatureUpdate Windows 10 20H2","f6202dc2-e0cb-4e81-b793-da5baed0cdab"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x86","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 bg-bg x86","59c4deda-ac98-460d-b67a-691aa7b6ff1e","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_bg-bg.esd","2903107267","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/c/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_07cb2ab3677f112b70fa4856d3cb1e54974b6673.esd","http://b1.download.windowsupdate.com/c/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_07cb2ab3677f112b70fa4856d3cb1e54974b6673.esd","7 203 42 179 103 127 17 43 112 250 72 86 211 203 30 84 151 75 102 115","131 124 202 9 84 92 244 167 44 192 160 147 224 139 165 34 131 233 119 236 219 135 100 57 136 5 62 136 185 251 114 66","","","b885acef-745e-4c9b-ae3a-9f27252abd6b","FeatureUpdate Windows 10 20H2","b885acef-745e-4c9b-ae3a-9f27252abd6b"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x64","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 cs-cz x64","531d2dd6-1596-4fcb-b7b7-36d6bb7b0b53","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_cs-cz.esd","3979588578","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_8ae565ffd58100380981cce17026a7e72a09bfaf.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_8ae565ffd58100380981cce17026a7e72a09bfaf.esd","138 229 101 255 213 129 0 56 9 129 204 225 112 38 167 231 42 9 191 175","103 132 132 185 13 211 151 157 225 23 198 171 50 164 155 111 182 37 129 110 213 24 234 26 251 148 196 47 196 24 30 141","","","065190f9-3b22-43e2-974c-eb405b9fce6a","FeatureUpdate Windows 10 20H2","065190f9-3b22-43e2-974c-eb405b9fce6a"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x86","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 cs-cz x86","398b03bd-3e46-4b3b-951d-fcb6ddfaa71d","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_cs-cz.esd","2899969602","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_d0c6b61d0861fa91fa3cc7a7a69c3f84e2bc006c.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_d0c6b61d0861fa91fa3cc7a7a69c3f84e2bc006c.esd","208 198 182 29 8 97 250 145 250 60 199 167 166 156 63 132 226 188 0 108","35 203 13 102 120 29 67 59 128 56 109 188 30 194 195 18 85 245 105 196 47 13 249 111 34 40 225 240 205 240 117 169","","","5b26be2c-4b9a-427c-a516-7224c3a36106","FeatureUpdate Windows 10 20H2","5b26be2c-4b9a-427c-a516-7224c3a36106"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x64","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 da-dk x64","0cb1a8a0-6361-4e84-aae9-4d5435afc16c","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_da-dk.esd","3989686318","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_3fc292f0e34a13a2459d2b0e79111100b80ca203.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_3fc292f0e34a13a2459d2b0e79111100b80ca203.esd","63 194 146 240 227 74 19 162 69 157 43 14 121 17 17 0 184 12 162 3","136 197 40 123 5 189 46 236 171 131 7 109 120 220 81 0 87 58 134 60 228 32 177 182 98 99 11 119 105 155 183 227","","","9aa0c255-8bbe-4e30-a710-46bec2ec7330","FeatureUpdate Windows 10 20H2","9aa0c255-8bbe-4e30-a710-46bec2ec7330"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x86","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 da-dk x86","b258a8e7-b57b-46d7-95d0-129d474f5d81","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_da-dk.esd","2931372016","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_b7220d3f6864bdf0c749b6e5e68991f4bf361149.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_b7220d3f6864bdf0c749b6e5e68991f4bf361149.esd","183 34 13 63 104 100 189 240 199 73 182 229 230 137 145 244 191 54 17 73","69 225 23 250 154 236 225 49 63 151 131 49 51 48 246 163 62 169 123 180 178 213 47 243 117 91 224 225 182 5 143 40","","","41e1c102-74e4-4e99-8808-f50eaf7284b5","FeatureUpdate Windows 10 20H2","41e1c102-74e4-4e99-8808-f50eaf7284b5"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x64","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 de-de x64","7f5d0a5b-af39-4963-a798-1c6f7a16fd71","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_de-de.esd","4083304568","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_c37f8859d2c1940a2597e53f19bc7cc3b3231aeb.esd","http://b1.download.windowsupdate.com/d/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_c37f8859d2c1940a2597e53f19bc7cc3b3231aeb.esd","195 127 136 89 210 193 148 10 37 151 229 63 25 188 124 195 179 35 26 235","145 109 19 234 131 203 20 201 71 116 194 225 96 158 55 74 27 113 216 125 185 185 44 137 129 181 26 122 153 27 242 92","","","d612d85e-a189-43bc-9e7a-009a5ea428fa","FeatureUpdate Windows 10 20H2","d612d85e-a189-43bc-9e7a-009a5ea428fa"
"FeatureUpdate Windows 10 20H2","22.6.14.1","","Windows 10","20H2","x86","","5/23/2022 9:00:00 PM","3012973","19042 201119 0144","Windows 10 (business editions) version 20H2 de-de x86","3f18d72d-793c-495d-9c8b-5300b93679bf","","None","19042.631.201119-0144.20h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_de-de.esd","3034550128","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 20H2.","","http://b1.download.windowsupdate.com/c/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_cdc744db4eaf59c496cce553bb520306b99ceafe.esd","http://b1.download.windowsupdate.com/c/upgr/2020/12/19042.631.201119-0144.20h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_cdc744db4eaf59c496cce553bb520306b99ceafe.esd","205 199 68 219 78 175 89 196 150 204 229 83 187 82 3 6 185 156 234 254","66 139 139 122 185 38 74 232 149 148 239 177 231 174 95 248 74 115 143 68 243 17 162 184 59 168 255 142 66 232 183 96","","","0a57e9f0-e9cc-4ca7-a389-d9ed56d350e6","FeatureUpdate Windows 10 20H2","0a57e9f0-e9cc-4ca7-a389-d9ed56d350e6"
